"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"3637","2026-01-06 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.13360","","","","0.0000","","","5271.70"
"","2026-01-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 3636","USD/JPY","","","","","","","","-0.13360","-0.0412","","","","","",""
"3638","2026-01-06 17:34:41 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3639","2026-01-06 17:34:41 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1184.00","","","","","","","","","","","","",""
"3640","2026-01-06 17:34:41 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","52716.00","Buy","","","","","","","","","","","",""
"3641","2026-01-06 17:34:41 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","156.40500","52716.00","Buy","2.8650","","","","0.00000","","0.0000","0.0064","-0.0054","1.09220","","5272.79"
"3642","2026-01-07 05:35:16 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3643","2026-01-07 05:35:16 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3644","2026-01-07 06:05:17 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3645","2026-01-07 06:05:17 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3646","2026-01-07 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","2.93660","","","","0.0000","","","5275.73"
"","2026-01-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 3641","USD/JPY","","","","","","","","2.93660","0.0208","","","","","",""
"3647","2026-01-07 15:05:43 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3648","2026-01-07 15:05:43 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3649","2026-01-07 15:20:44 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3650","2026-01-07 15:20:44 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3651","2026-01-07 15:35:44 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3652","2026-01-07 15:35:44 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3653","2026-01-07 15:50:45 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3654","2026-01-07 15:50:45 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3655","2026-01-07 16:05:46 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3656","2026-01-07 16:05:46 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3657","2026-01-07 16:20:46 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3658","2026-01-07 16:20:46 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3659","2026-01-07 16:35:47 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3660","2026-01-07 16:35:47 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
